medication,k,z_i,Z_D1,Z_D2,Z_S
clozapine,0.0,0,0.5,1.0,0.25
clozapine,0.02631578947368421,1,0.49909935265972416,0.9989304812834224,0.2368421052631579
clozapine,0.05263157894736842,2,0.4981987053194484,0.9978609625668449,0.2236842105263158
clozapine,0.07894736842105263,3,0.49729805797917254,0.9967914438502674,0.21052631578947367
clozapine,0.10526315789473684,4,0.4963974106388967,0.9957219251336898,0.19736842105263158
clozapine,0.13157894736842105,5,0.49549676329862086,0.9946524064171123,0.1842105263157895
clozapine,0.15789473684210525,6,0.4945961159583451,0.9935828877005347,0.17105263157894737
clozapine,0.18421052631578946,7,0.49369546861806923,0.9925133689839573,0.15789473684210525
clozapine,0.21052631578947367,8,0.4927948212777934,0.9914438502673797,0.14473684210526316
clozapine,0.23684210526315788,9,0.4918941739375176,0.9903743315508021,0.13157894736842107
clozapine,0.2631578947368421,10,0.49099352659724177,0.9893048128342246,0.11842105263157895
clozapine,0.2894736842105263,11,0.49009287925696593,0.9882352941176471,0.10526315789473684
clozapine,0.3157894736842105,12,0.48919223191669015,0.9871657754010695,0.09210526315789475
clozapine,0.3421052631578947,13,0.4882915845764143,0.986096256684492,0.07894736842105265
clozapine,0.3684210526315789,14,0.48739093723613847,0.9850267379679144,0.06578947368421054
clozapine,0.39473684210526316,15,0.4864902898958626,0.983957219251337,0.05263157894736842
clozapine,0.42105263157894735,16,0.48558964255558684,0.9828877005347594,0.03947368421052633
clozapine,0.4473684210526315,17,0.484688995215311,0.9818181818181818,0.026315789473684237
clozapine,0.47368421052631576,18,0.48378834787503516,0.9807486631016042,0.013157894736842118
clozapine,0.5,19,0.4828877005347594,0.9796791443850268,0.0
aripiprazole,0.0,0,0.5,1.0,0.25
aripiprazole,0.02631578947368421,1,0.49988558352402745,0.9861327231121282,0.2368421052631579
aripiprazole,0.05263157894736842,2,0.4997711670480549,0.9722654462242563,0.2236842105263158
aripiprazole,0.07894736842105263,3,0.49965675057208236,0.9583981693363844,0.21052631578947367
aripiprazole,0.10526315789473684,4,0.4995423340961098,0.9445308924485126,0.19736842105263158
aripiprazole,0.13157894736842105,5,0.4994279176201373,0.9306636155606407,0.1842105263157895
aripiprazole,0.15789473684210525,6,0.4993135011441648,0.9167963386727689,0.17105263157894737
aripiprazole,0.18421052631578946,7,0.49919908466819224,0.9029290617848971,0.15789473684210525
aripiprazole,0.21052631578947367,8,0.4990846681922197,0.8890617848970251,0.14473684210526316
aripiprazole,0.23684210526315788,9,0.49897025171624715,0.8751945080091533,0.13157894736842107
aripiprazole,0.2631578947368421,10,0.4988558352402746,0.8613272311212815,0.11842105263157895
aripiprazole,0.2894736842105263,11,0.49874141876430206,0.8474599542334096,0.10526315789473684
aripiprazole,0.3157894736842105,12,0.4986270022883295,0.8335926773455378,0.09210526315789475
